source_table,category_or_disease,drug_name,condition_detail,rationale,recommendation,quality,strength
Table 2 (PIM),Cardiovascular and antithrombotics,Dronedarone,N/A,"Worse outcomes in people who have permanent atrial fibrillation or severe or recently decompensated heart failure. In some circumstances, worse outcomes have also been reported in people with HFrEF (e.g., left ventricular ejection fraction ?35%) who have milder symptoms (NYHA class I or II).",Avoid in individuals with permanent atrial fibrillation or severe or recently decompensated heart failure. Use caution in patients with HFrEF with less severe symptoms (NYHA class I or II).,High,Strong
Table 2 (PIM),Cardiovascular and antithrombotics,Digoxin,�first-line treatment of atrial fibrillation or heart failure,"Use in atrial fibrillation: should not be used as a first-line agent because there are safer and more effective alternatives for rate control.
Use in heart failure: evidence for benefits and harms of digoxin is conflicting and of lower quality; most (but not all) evidence concerns use in HFrEF. There is strong evidence for other agents as first- line therapy to reduce hospitalizations and mortality in adults with HFrEF. In heart failure, higher dosages are not associated with additional benefits and may increase the risk of toxicity. Use caution in discontinuing digoxin among current users with HFrEF, given limited evidence suggesting worse clinical outcomes after discontinuation.
Decreased renal clearance of digoxin may lead to an increased risk of toxic effects; further dose reduction may be necessary for those with Stage 4 or 5 chronic kidney disease.","Avoid this rate control agent as first-line therapy for atrial fibrillation.Avoid as first-line therapy for heart failure. See rationale for caution about withdrawal in long-term users with HFrEF.If used for atrial fibrillation or heart failure, avoid dosages >0.125 mg/day.","Atrial fibrillation; heart failure: low
Dosage > 0.125 mg/ day: moderate",Strong
Table 2 (PIM),Central nervous system,Amitriptyline,"Antidepressants with strong anticholinergic activity, alone or in combination","Highly anticholinergic, sedating, and cause orthostatic hypotension; the safety profile of low-dose doxepin (?6 mg/day) is comparable to that of placebo.",Avoid,High,Strong
Table 2 (PIM),Central nervous system,Amoxapine,"Antidepressants with strong anticholinergic activity, alone or in combination","Highly anticholinergic, sedating, and cause orthostatic hypotension; the safety profile of low-dose doxepin (?6 mg/day) is comparable to that of placebo.",Avoid,High,Strong
Table 2 (PIM),Central nervous system,Clomipramine,"Antidepressants with strong anticholinergic activity, alone or in combination","Highly anticholinergic, sedating, and cause orthostatic hypotension; the safety profile of low-dose doxepin (?6 mg/day) is comparable to that of placebo.",Avoid,High,Strong
Table 2 (PIM),Central nervous system,Desipramine,"Antidepressants with strong anticholinergic activity, alone or in combination","Highly anticholinergic, sedating, and cause orthostatic hypotension; the safety profile of low-dose doxepin (?6 mg/day) is comparable to that of placebo.",Avoid,High,Strong
Table 2 (PIM),Central nervous system,Doxepin >6 mg/day,"Antidepressants with strong anticholinergic activity, alone or in combination","Highly anticholinergic, sedating, and cause orthostatic hypotension; the safety profile of low-dose doxepin (?6 mg/day) is comparable to that of placebo.",Avoid,High,Strong
Table 2 (PIM),Central nervous system,Imipramine,"Antidepressants with strong anticholinergic activity, alone or in combination","Highly anticholinergic, sedating, and cause orthostatic hypotension; the safety profile of low-dose doxepin (?6 mg/day) is comparable to that of placebo.",Avoid,High,Strong
Table 2 (PIM),Central nervous system,Nortriptyline,"Antidepressants with strong anticholinergic activity, alone or in combination","Highly anticholinergic, sedating, and cause orthostatic hypotension; the safety profile of low-dose doxepin (?6 mg/day) is comparable to that of placebo.",Avoid,High,Strong
Table 2 (PIM),Central nervous system,Paroxetine,"Antidepressants with strong anticholinergic activity, alone or in combination","Highly anticholinergic, sedating, and cause orthostatic hypotension; the safety profile of low-dose doxepin (?6 mg/day) is comparable to that of placebo.",Avoid,High,Strong
Table 2 (PIM),Central nervous system,Benztropine (oral),Antiparkinsonian agents with strong anticholinergic activity,Not recommended for prevention or treatment of extrapyramidal symptoms due to antipsychotics; more effective agents available for the treatment of Parkinson disease.,Avoid,Moderate,Strong
Table 2 (PIM),Central nervous system,Trihexyphenidyl,Antiparkinsonian agents with strong anticholinergic activity,Not recommended for prevention or treatment of extrapyramidal symptoms due to antipsychotics; more effective agents available for the treatment of Parkinson disease.,Avoid,Moderate,Strong
Table 2 (PIM),Central nervous system,Aripiprazole,"Antipsychotics, first- (typical) and second- (atypical) generation","Increased risk of stroke and greater rate of cognitive decline and mortality in persons with dementia. Additional evidence suggests an association of increased risk between antipsychotic medication and mortality independent of dementia.Avoid antipsychotics for behavioral problems of dementia or delirium unless documented nonpharmacologic options (e.g., behavioral interventions) have failed and/or the patient is threatening substantial harm to self or others. If used, periodic deprescribing attempts should be considered to assess ongoing need and/or the lowest effective dose.","Avoid, except in FDA-approved indications such as schizophrenia, bipolar disorder, Parkinson disease psychosis (see Table 3), adjunctive treatment of major depressive disorder, or for short-term use as an antiemetic.",Moderate,Strong
Table 2 (PIM),Central nervous system,Haloperidol,"Antipsychotics, first- (typical) and second- (atypical) generation","Increased risk of stroke and greater rate of cognitive decline and mortality in persons with dementia. Additional evidence suggests an association of increased risk between antipsychotic medication and mortality independent of dementia.Avoid antipsychotics for behavioral problems of dementia or delirium unless documented nonpharmacologic options (e.g., behavioral interventions) have failed and/or the patient is threatening substantial harm to self or others. If used, periodic deprescribing attempts should be considered to assess ongoing need and/or the lowest effective dose.","Avoid, except in FDA-approved indications such as schizophrenia, bipolar disorder, Parkinson disease psychosis (see Table 3), adjunctive treatment of major depressive disorder, or for short-term use as an antiemetic.",Moderate,Strong
Table 2 (PIM),Central nervous system,Olanzapine,"Antipsychotics, first- (typical) and second- (atypical) generation","Increased risk of stroke and greater rate of cognitive decline and mortality in persons with dementia. Additional evidence suggests an association of increased risk between antipsychotic medication and mortality independent of dementia.Avoid antipsychotics for behavioral problems of dementia or delirium unless documented nonpharmacologic options (e.g., behavioral interventions) have failed and/or the patient is threatening substantial harm to self or others. If used, periodic deprescribing attempts should be considered to assess ongoing need and/or the lowest effective dose.","Avoid, except in FDA-approved indications such as schizophrenia, bipolar disorder, Parkinson disease psychosis (see Table 3), adjunctive treatment of major depressive disorder, or for short-term use as an antiemetic.",Moderate,Strong
Table 2 (PIM),Central nervous system,Quetiapine,"Antipsychotics, first- (typical) and second- (atypical) generation","Increased risk of stroke and greater rate of cognitive decline and mortality in persons with dementia. Additional evidence suggests an association of increased risk between antipsychotic medication and mortality independent of dementia.Avoid antipsychotics for behavioral problems of dementia or delirium unless documented nonpharmacologic options (e.g., behavioral interventions) have failed and/or the patient is threatening substantial harm to self or others. If used, periodic deprescribing attempts should be considered to assess ongoing need and/or the lowest effective dose.","Avoid, except in FDA-approved indications such as schizophrenia, bipolar disorder, Parkinson disease psychosis (see Table 3), adjunctive treatment of major depressive disorder, or for short-term use as an antiemetic.",Moderate,Strong
Table 2 (PIM),Central nervous system,Risperidone,"Antipsychotics, first- (typical) and second- (atypical) generation","Increased risk of stroke and greater rate of cognitive decline and mortality in persons with dementia. Additional evidence suggests an association of increased risk between antipsychotic medication and mortality independent of dementia.Avoid antipsychotics for behavioral problems of dementia or delirium unless documented nonpharmacologic options (e.g., behavioral interventions) have failed and/or the patient is threatening substantial harm to self or others. If used, periodic deprescribing attempts should be considered to assess ongoing need and/or the lowest effective dose.","Avoid, except in FDA-approved indications such as schizophrenia, bipolar disorder, Parkinson disease psychosis (see Table 3), adjunctive treatment of major depressive disorder, or for short-term use as an antiemetic.",Moderate,Strong
Table 2 (PIM),Central nervous system,Butalbital,Barbiturates,"High rate of physical dependence, tolerance to sleep benefits, greater risk of overdose at low dosages.",Avoid,High,Strong
Table 2 (PIM),Central nervous system,Phenobarbital,Barbiturates,"High rate of physical dependence, tolerance to sleep benefits, greater risk of overdose at low dosages.",Avoid,High,Strong
Table 2 (PIM),Central nervous system,Primidone,Barbiturates,"High rate of physical dependence, tolerance to sleep benefits, greater risk of overdose at low dosages.",Avoid,High,Strong
Table 2 (PIM),Central nervous system,Alprazolam,Benzodiazepines,"The use of benzodiazepines exposes users to risks of abuse, misuse, and addiction. Concomitant use of opioids may result in profound sedation, respiratory depression, coma, and death.
Older adults have increased sensitivity to benzodiazepines and decreased metabolism of long-acting agents; the continued use of benzodiazepines may lead to clinically significant physical dependence. In general, all benzodiazepines increase the risk of cognitive impairment, delirium, falls, fractures, and motor vehicle crashes in older adults.
May be appropriate for seizure disorders, rapid eye movement sleep behavior disorder, benzodiazepine withdrawal, ethanol withdrawal, severe generalized anxiety disorder, and periprocedural anesthesia.",Avoid,Moderate,Strong
Table 2 (PIM),Central nervous system,Chlordiazepoxide,Benzodiazepines,"The use of benzodiazepines exposes users to risks of abuse, misuse, and addiction. Concomitant use of opioids may result in profound sedation, respiratory depression, coma, and death.
Older adults have increased sensitivity to benzodiazepines and decreased metabolism of long-acting agents; the continued use of benzodiazepines may lead to clinically significant physical dependence. In general, all benzodiazepines increase the risk of cognitive impairment, delirium, falls, fractures, and motor vehicle crashes in older adults.
May be appropriate for seizure disorders, rapid eye movement sleep behavior disorder, benzodiazepine withdrawal, ethanol withdrawal, severe generalized anxiety disorder, and periprocedural anesthesia.",Avoid,Moderate,Strong
Table 2 (PIM),Central nervous system,Clobazam,Benzodiazepines,"The use of benzodiazepines exposes users to risks of abuse, misuse, and addiction. Concomitant use of opioids may result in profound sedation, respiratory depression, coma, and death.
Older adults have increased sensitivity to benzodiazepines and decreased metabolism of long-acting agents; the continued use of benzodiazepines may lead to clinically significant physical dependence. In general, all benzodiazepines increase the risk of cognitive impairment, delirium, falls, fractures, and motor vehicle crashes in older adults.
May be appropriate for seizure disorders, rapid eye movement sleep behavior disorder, benzodiazepine withdrawal, ethanol withdrawal, severe generalized anxiety disorder, and periprocedural anesthesia.",Avoid,Moderate,Strong
Table 2 (PIM),Central nervous system,Clonazepam,Benzodiazepines,"The use of benzodiazepines exposes users to risks of abuse, misuse, and addiction. Concomitant use of opioids may result in profound sedation, respiratory depression, coma, and death.
Older adults have increased sensitivity to benzodiazepines and decreased metabolism of long-acting agents; the continued use of benzodiazepines may lead to clinically significant physical dependence. In general, all benzodiazepines increase the risk of cognitive impairment, delirium, falls, fractures, and motor vehicle crashes in older adults.
May be appropriate for seizure disorders, rapid eye movement sleep behavior disorder, benzodiazepine withdrawal, ethanol withdrawal, severe generalized anxiety disorder, and periprocedural anesthesia.
Older adults have increased sensitivity to benzodiazepines and decreased metabolism of long-acting agents; the continued use of benzodiazepines may lead to clinically significant physical dependence. In general, all benzodiazepines increase the risk of cognitive impairment, delirium, falls, fractures, and motor vehicle crashes in older adults.
May be appropriate for seizure disorders, rapid eye movement sleep behavior disorder, benzodiazepine withdrawal, ethanol withdrawal, severe generalized anxiety disorder, and periprocedural anesthesia.",Avoid,Moderate,Strong
Table 2 (PIM),Central nervous system,Clorazepate,Benzodiazepines,"The use of benzodiazepines exposes users to risks of abuse, misuse, and addiction. Concomitant use of opioids may result in profound sedation, respiratory depression, coma, and death.
Older adults have increased sensitivity to benzodiazepines and decreased metabolism of long-acting agents; the continued use of benzodiazepines may lead to clinically significant physical dependence. In general, all benzodiazepines increase the risk of cognitive impairment, delirium, falls, fractures, and motor vehicle crashes in older adults.
May be appropriate for seizure disorders, rapid eye movement sleep behavior disorder, benzodiazepine withdrawal, ethanol withdrawal, severe generalized anxiety disorder, and periprocedural anesthesia.
Older adults have increased sensitivity to benzodiazepines and decreased metabolism of long-acting agents; the continued use of benzodiazepines may lead to clinically significant physical dependence. In general, all benzodiazepines increase the risk of cognitive impairment, delirium, falls, fractures, and motor vehicle crashes in older adults.
May be appropriate for seizure disorders, rapid eye movement sleep behavior disorder, benzodiazepine withdrawal, ethanol withdrawal, severe generalized anxiety disorder, and periprocedural anesthesia.",Avoid,Moderate,Strong
Table 2 (PIM),Central nervous system,Diazepam,Benzodiazepines,"The use of benzodiazepines exposes users to risks of abuse, misuse, and addiction. Concomitant use of opioids may result in profound sedation, respiratory depression, coma, and death.
Older adults have increased sensitivity to benzodiazepines and decreased metabolism of long-acting agents; the continued use of benzodiazepines may lead to clinically significant physical dependence. In general, all benzodiazepines increase the risk of cognitive impairment, delirium, falls, fractures, and motor vehicle crashes in older adults.
May be appropriate for seizure disorders, rapid eye movement sleep behavior disorder, benzodiazepine withdrawal, ethanol withdrawal, severe generalized anxiety disorder, and periprocedural anesthesia.
Older adults have increased sensitivity to benzodiazepines and decreased metabolism of long-acting agents; the continued use of benzodiazepines may lead to clinically significant physical dependence. In general, all benzodiazepines increase the risk of cognitive impairment, delirium, falls, fractures, and motor vehicle crashes in older adults.
May be appropriate for seizure disorders, rapid eye movement sleep behavior disorder, benzodiazepine withdrawal, ethanol withdrawal, severe generalized anxiety disorder, and periprocedural anesthesia.",Avoid,Moderate,Strong
Table 2 (PIM),Central nervous system,Estazolam,Benzodiazepines,"The use of benzodiazepines exposes users to risks of abuse, misuse, and addiction. Concomitant use of opioids may result in profound sedation, respiratory depression, coma, and death.
Older adults have increased sensitivity to benzodiazepines and decreased metabolism of long-acting agents; the continued use of benzodiazepines may lead to clinically significant physical dependence. In general, all benzodiazepines increase the risk of cognitive impairment, delirium, falls, fractures, and motor vehicle crashes in older adults.
May be appropriate for seizure disorders, rapid eye movement sleep behavior disorder, benzodiazepine withdrawal, ethanol withdrawal, severe generalized anxiety disorder, and periprocedural anesthesia.
Older adults have increased sensitivity to benzodiazepines and decreased metabolism of long-acting agents; the continued use of benzodiazepines may lead to clinically significant physical dependence. In general, all benzodiazepines increase the risk of cognitive impairment, delirium, falls, fractures, and motor vehicle crashes in older adults.
May be appropriate for seizure disorders, rapid eye movement sleep behavior disorder, benzodiazepine withdrawal, ethanol withdrawal, severe generalized anxiety disorder, and periprocedural anesthesia.",Avoid,Moderate,Strong
Table 2 (PIM),Central nervous system,Lorazepam,Benzodiazepines,"The use of benzodiazepines exposes users to risks of abuse, misuse, and addiction. Concomitant use of opioids may result in profound sedation, respiratory depression, coma, and death.
Older adults have increased sensitivity to benzodiazepines and decreased metabolism of long-acting agents; the continued use of benzodiazepines may lead to clinically significant physical dependence. In general, all benzodiazepines increase the risk of cognitive impairment, delirium, falls, fractures, and motor vehicle crashes in older adults.
May be appropriate for seizure disorders, rapid eye movement sleep behavior disorder, benzodiazepine withdrawal, ethanol withdrawal, severe generalized anxiety disorder, and periprocedural anesthesia.
Older adults have increased sensitivity to benzodiazepines and decreased metabolism of long-acting agents; the continued use of benzodiazepines may lead to clinically significant physical dependence. In general, all benzodiazepines increase the risk of cognitive impairment, delirium, falls, fractures, and motor vehicle crashes in older adults.
May be appropriate for seizure disorders, rapid eye movement sleep behavior disorder, benzodiazepine withdrawal, ethanol withdrawal, severe generalized anxiety disorder, and periprocedural anesthesia.",Avoid,Moderate,Strong
Table 2 (PIM),Central nervous system,Midazolam,Benzodiazepines,"The use of benzodiazepines exposes users to risks of abuse, misuse, and addiction. Concomitant use of opioids may result in profound sedation, respiratory depression, coma, and death.
Older adults have increased sensitivity to benzodiazepines and decreased metabolism of long-acting agents; the continued use of benzodiazepines may lead to clinically significant physical dependence. In general, all benzodiazepines increase the risk of cognitive impairment, delirium, falls, fractures, and motor vehicle crashes in older adults.
May be appropriate for seizure disorders, rapid eye movement sleep behavior disorder, benzodiazepine withdrawal, ethanol withdrawal, severe generalized anxiety disorder, and periprocedural anesthesia.
Older adults have increased sensitivity to benzodiazepines and decreased metabolism of long-acting agents; the continued use of benzodiazepines may lead to clinically significant physical dependence. In general, all benzodiazepines increase the risk of cognitive impairment, delirium, falls, fractures, and motor vehicle crashes in older adults.
May be appropriate for seizure disorders, rapid eye movement sleep behavior disorder, benzodiazepine withdrawal, ethanol withdrawal, severe generalized anxiety disorder, and periprocedural anesthesia.",Avoid,Moderate,Strong
Table 2 (PIM),Central nervous system,Oxazepam,Benzodiazepines,"The use of benzodiazepines exposes users to risks of abuse, misuse, and addiction. Concomitant use of opioids may result in profound sedation, respiratory depression, coma, and death.
Older adults have increased sensitivity to benzodiazepines and decreased metabolism of long-acting agents; the continued use of benzodiazepines may lead to clinically significant physical dependence. In general, all benzodiazepines increase the risk of cognitive impairment, delirium, falls, fractures, and motor vehicle crashes in older adults.
May be appropriate for seizure disorders, rapid eye movement sleep behavior disorder, benzodiazepine withdrawal, ethanol withdrawal, severe generalized anxiety disorder, and periprocedural anesthesia.
Older adults have increased sensitivity to benzodiazepines and decreased metabolism of long-acting agents; the continued use of benzodiazepines may lead to clinically significant physical dependence. In general, all benzodiazepines increase the risk of cognitive impairment, delirium, falls, fractures, and motor vehicle crashes in older adults.
May be appropriate for seizure disorders, rapid eye movement sleep behavior disorder, benzodiazepine withdrawal, ethanol withdrawal, severe generalized anxiety disorder, and periprocedural anesthesia.",Avoid,Moderate,Strong
Table 2 (PIM),Central nervous system,Temazepam,Benzodiazepines,"The use of benzodiazepines exposes users to risks of abuse, misuse, and addiction. Concomitant use of opioids may result in profound sedation, respiratory depression, coma, and death.
Older adults have increased sensitivity to benzodiazepines and decreased metabolism of long-acting agents; the continued use of benzodiazepines may lead to clinically significant physical dependence. In general, all benzodiazepines increase the risk of cognitive impairment, delirium, falls, fractures, and motor vehicle crashes in older adults.
May be appropriate for seizure disorders, rapid eye movement sleep behavior disorder, benzodiazepine withdrawal, ethanol withdrawal, severe generalized anxiety disorder, and periprocedural anesthesia.
Older adults have increased sensitivity to benzodiazepines and decreased metabolism of long-acting agents; the continued use of benzodiazepines may lead to clinically significant physical dependence. In general, all benzodiazepines increase the risk of cognitive impairment, delirium, falls, fractures, and motor vehicle crashes in older adults.
May be appropriate for seizure disorders, rapid eye movement sleep behavior disorder, benzodiazepine withdrawal, ethanol withdrawal, severe generalized anxiety disorder, and periprocedural anesthesia.",Avoid,Moderate,Strong
Table 2 (PIM),Central nervous system,Triazolam,Benzodiazepines,"The use of benzodiazepines exposes users to risks of abuse, misuse, and addiction. Concomitant use of opioids may result in profound sedation, respiratory depression, coma, and death.
Older adults have increased sensitivity to benzodiazepines and decreased metabolism of long-acting agents; the continued use of benzodiazepines may lead to clinically significant physical dependence. In general, all benzodiazepines increase the risk of cognitive impairment, delirium, falls, fractures, and motor vehicle crashes in older adults.
May be appropriate for seizure disorders, rapid eye movement sleep behavior disorder, benzodiazepine withdrawal, ethanol withdrawal, severe generalized anxiety disorder, and periprocedural anesthesia.
Older adults have increased sensitivity to benzodiazepines and decreased metabolism of long-acting agents; the continued use of benzodiazepines may lead to clinically significant physical dependence. In general, all benzodiazepines increase the risk of cognitive impairment, delirium, falls, fractures, and motor vehicle crashes in older adults.
May be appropriate for seizure disorders, rapid eye movement sleep behavior disorder, benzodiazepine withdrawal, ethanol withdrawal, severe generalized anxiety disorder, and periprocedural anesthesia.",Avoid,Moderate,Strong
