section,system,criterion_id,criterion,drug_class,condition,rationale,action,severity
F,Endocrine,F7,Androgens without hypogonadism,"Testosterone, etc",No primary/secondary hypogonadism,"Risk of toxicity, no proven benefit",STOP,Moderate
F,Endocrine,F8,Bisphosphonates >5 years,Bisphosphonates,Treatment >5 years,Consider drug holiday after discussing risks/benefits,STOP for drug holiday,Moderate
F,Endocrine,F9,Bisphosphonates with thigh/hip/groin pain,Bisphosphonates,"Unexplained thigh, hip, or groin pain",May indicate atypical fracture,STOP after discussion,High
F,Endocrine,F10,Oral bisphosphonates with upper GI disease,Oral bisphosphonates,"Dysphagia, oesophagitis, gastritis, PUD, GI bleeding",Risk of relapse/exacerbation of oesophagitis or ulcers,STOP,High
F,Endocrine,F11,Bisphosphonates/Denosumab at low fracture risk,"Bisphosphonates, Denosumab",Low fracture risk (FRAX),No benefit if low risk,STOP,Moderate
F,Endocrine,F12,Denosumab without regular dental checks,Denosumab,Unable to have regular dental checkups,Risk of osteonecrosis of jaw,STOP,High
G,Genitourinary,G1,Alpha-blockers with orthostatic hypotension or syncope,"Tamsulosin, Doxazosin, etc",Symptomatic orthostatic hypotension or micturition syncope,Risk of precipitating recurrent syncope,STOP,High
G,Genitourinary,G2,Anticholinergics with dementia/cognitive impairment,"Oxybutynin, Tolterodine, etc",Dementia or chronic cognitive impairment,"Risk of increased confusion, agitation",STOP,High
G,Genitourinary,G3,Anticholinergics with narrow-angle glaucoma,Anticholinergics for bladder,Narrow-angle glaucoma,Risk of acute exacerbation of glaucoma,STOP,High
G,Genitourinary,G4,Anticholinergics with chronic prostatism,Anticholinergics,Chronic prostatism,Risk of urinary retention,STOP,High
G,Genitourinary,G5,PDE-5 inhibitors with severe heart failure or nitrates,"Sildenafil, Tadalafil",Severe HF (SBP <90) or concurrent nitrate therapy,Risk of cardiovascular collapse,STOP,High
G,Genitourinary,G6,Diuretics with urinary incontinence,Diuretics,Concurrent urinary incontinence,May exacerbate incontinence,STOP or adjust timing,Moderate
H,Musculoskeletal,H1,NSAID with PUD without PPI,NSAIDs,History of peptic ulcer or GI bleeding,Risk of peptic ulcer relapse,STOP or add PPI,High
H,Musculoskeletal,H2,NSAID with corticosteroid/antiplatelet/SSRI without PPI,NSAIDs,"With corticosteroid, antiplatelet, or SSRI/venlafaxine",Increased risk of peptic ulcer,STOP or add PPI,High
H,Musculoskeletal,H3,NSAID with severe/uncontrolled hypertension,NSAIDs,Severe or uncontrolled hypertension,Risk of exacerbation of hypertension,STOP,High
H,Musculoskeletal,H4,NSAID with moderate-severe heart failure,"NSAIDs (especially Diclofenac, COX-2)",Moderate-severe heart failure,Risk of exacerbation of heart failure,STOP,High
H,Musculoskeletal,H5,NSAID long-term >3 months without trial of simple analgesics,NSAIDs,Musculoskeletal pain,Simple analgesia/topical NSAID may be as effective,STOP - try paracetamol first,Moderate
H,Musculoskeletal,H6,NSAID if eGFR <50,NSAIDs,eGFR <50 ml/min,Risk of deterioration in renal function,STOP,High
H,Musculoskeletal,H7,NSAID with warfarin/NOAC,NSAIDs with anticoagulants,Concurrent anticoagulation,Risk of GI bleeding,STOP NSAID,High
H,Musculoskeletal,H8,Long-term NSAID/Colchicine for gout,"NSAIDs, Colchicine",Chronic gout treatment >3 months,Allopurinol is first choice for prophylaxis,STOP - use allopurinol,Moderate
H,Musculoskeletal,H9,Diclofenac/COX-2/Ibuprofen >1200mg with CVD,"Diclofenac, COX-2 inhibitors, Ibuprofen >1200mg",Cardiovascular disease,Increased risk of thrombotic events,STOP,High
H,Musculoskeletal,H10,Long-term corticosteroids as monotherapy for RA,Corticosteroids,Rheumatoid arthritis >3 months,Risk of systemic steroid side-effects,STOP - add DMARD,High
H,Musculoskeletal,H11,Corticosteroids for osteoarthritis,Corticosteroids (other than intra-articular),Osteoarthritis,Risk of systemic steroid side-effects,STOP,Moderate
H,Musculoskeletal,H12,Colchicine if eGFR <10,Colchicine,eGFR <10 ml/min,Risk of colchicine toxicity,STOP,High
H,Musculoskeletal,H13,Quinine without trial break every 3 months,Quinine,Leg cramps,May not be needed long-term,STOP for trial break,Moderate
I,Nutrition,I1,Oral iron >200mg elemental/day,Iron supplements,Any,"No increased absorption >200mg, more side-effects",STOP - reduce dose,Moderate
J,Eye,J1,Non-selective beta-blocker (oral/topical) with bradycardia/HB/HF/asthma,Non-selective beta-blockers,"Bradycardia, heart block, uncontrolled HF, or asthma",Risk of bronchospasm or cardiac complications,STOP,High
K,Anticholinergic Burden,K1,Two or more drugs with ACB score ≥4,Multiple anticholinergics,Total ACB score ≥4,Risk of increased anticholinergic toxicity,STOP one or more,High
