Type,Section,Rule_ID,Drug_Medication,Condition_Disease,Rationale_Reason,Full_Text
STOPP,Section C: Coagulation System,16,Aspirin,for primary prevention in cardiovascular disease,no evidence of benefit,Aspirin for primary prevention in cardiovascular disease (no evidence of benefit).
STOPP,Section D: Central Nervous System,1,TriCyclic Antidepressants (TCAs),"in patients with dementia, narrow angle glaucoma, cardiac conduction abnormalities, prostatism, chronic constipation, recent falls, prior history of urinary retention or orthostatic hypotension",risk of worsening these conditions,"TriCyclic Antidepressants (TCAs) in patients with dementia, narrow angle glaucoma, cardiac conduction abnormalities, prostatism, chronic constipation, recent falls, prior history of urinary retention or orthostatic hypotension (risk of worsening these conditions)."
STOPP,Section D: Central Nervous System,2,Initiation of TriCyclic Antidepressants (TCAs) as first-line treatment,for major depression,higher risk of adverse drug reactions with TCAs than with SSRIs or SNRIs,Initiation of TriCyclic Antidepressants (TCAs) as first-line treatment for major depression (higher risk of adverse drug reactions with TCAs than with SSRIs or SNRIs).
STOPP,Section D: Central Nervous System,3,"Serotonin/noradrenaline reuptake inhibitors (SNRI’s e.g., venlafaxine, duloxetine) and severe hypertension i.e., systolic blood pressure > 180 mmHg +/- diastolic blood pressure > 105 mmHg",General/Unspecified,likely to make hypertension worse,"Serotonin/noradrenaline reuptake inhibitors (SNRI’s e.g., venlafaxine, duloxetine) and severe hypertension i.e., systolic blood pressure > 180 mmHg +/- diastolic blood pressure > 105 mmHg (likely to make hypertension worse)."
STOPP,Section D: Central Nervous System,4,Antipsychotics,"with moderate-marked antimuscarinic/anticholinergic effects (acepromazine, chlorpromazine, clozapine, flupenthixol, fluphenzine, levomepromazine, olanzapine, pipothiazine, promazine, thioridazine) with a history of lower urinary tract symptoms associated with benign prostatic hyperplasia or previous urinary retention",high risk of urinary retention,"Antipsychotics with moderate-marked antimuscarinic/anticholinergic effects (acepromazine, chlorpromazine, clozapine, flupenthixol, fluphenzine, levomepromazine, olanzapine, pipothiazine, promazine, thioridazine) with a history of lower urinary tract symptoms associated with benign prostatic hyperplasia or previous urinary retention (high risk of urinary retention)."
STOPP,Section D: Central Nervous System,5,Antipsychotics prescribed,for behavioural and psychological symptoms of dementia (BPSD) an unchanged dose for > 3 months without medication review,"increased risk of extrapyramidal side-effects and chronic worsening of cognition, increased risk of major cardiovascular morbidity and mortality","Antipsychotics prescribed for behavioural and psychological symptoms of dementia (BPSD) an unchanged dose for > 3 months without medication review (increased risk of extrapyramidal side-effects and chronic worsening of cognition, increased risk of major cardiovascular morbidity and mortality)."
STOPP,Section D: Central Nervous System,6,Selective serotonin re-uptake inhibitors (SSRI’s),"with current or recent significant hyponatraemia i.e., serum Na+ < 130 mmol/l",risk of exacerbating or precipitating hyponatraemia,"Selective serotonin re-uptake inhibitors (SSRI’s) with current or recent significant hyponatraemia i.e., serum Na+ < 130 mmol/l (risk of exacerbating or precipitating hyponatraemia)."
STOPP,Section D: Central Nervous System,7,Selective serotonin re-uptake inhibitors (SSRI’s),with current or recent significant bleeding,risk of exacerbation or recurrence of bleeding due to antiplatelet effects of SSRI’s,Selective serotonin re-uptake inhibitors (SSRI’s) with current or recent significant bleeding (risk of exacerbation or recurrence of bleeding due to antiplatelet effects of SSRI’s).
STOPP,Section D: Central Nervous System,8,Benzodiazepines,for ≥ 4 weeks,"no indication for longer treatment; risk of prolonged sedation, confusion, impaired balance, falls, road traffic accidents; all benzodiazepines should be withdrawn gradually if taken for more than 4 weeks as there is a risk of causing a benzodiazepine withdrawal syndrome if stopped abruptly","Benzodiazepines for ≥ 4 weeks (no indication for longer treatment; risk of prolonged sedation, confusion, impaired balance, falls, road traffic accidents; all benzodiazepines should be withdrawn gradually if taken for more than 4 weeks as there is a risk of causing a benzodiazepine withdrawal syndrome if stopped abruptly). 4"
STOPP,Section D: Central Nervous System,9,Benzodiazepines,for agitated behaviour or psychotic symptoms of dementia,no evidence of efficacy,Benzodiazepines for agitated behaviour or psychotic symptoms of dementia (no evidence of efficacy).
STOPP,Section D: Central Nervous System,10,Benzodiazepines,for insomnia for ≥ 2 weeks,"high risk of dependency, increased risk of falls, fractures and road traffic accidents","Benzodiazepines for insomnia for ≥ 2 weeks (high risk of dependency, increased risk of falls, fractures and road traffic accidents)."
STOPP,Section D: Central Nervous System,11,"Z-drugs (zolpidem, zopiclone, zaleplon)",for insomnia for ≥ 2 weeks,"increased risk of falls, fractures","Z-drugs (zolpidem, zopiclone, zaleplon) for insomnia for ≥ 2 weeks (increased risk of falls, fractures)."
STOPP,Section D: Central Nervous System,12,"Antipsychotics (i.e., other than clozapine or quetiapine)",in those with parkinsonism or Dementia with Lewy Bodies,risk of severe extra-pyramidal symptoms,"Antipsychotics (i.e., other than clozapine or quetiapine) in those with parkinsonism or Dementia with Lewy Bodies (risk of severe extra-pyramidal symptoms)."
STOPP,Section D: Central Nervous System,13,"Anticholinergic/antimuscarinic drugs (biperiden, orphenadrine, procyclidine, trihexyphenidyl) to treat extra-pyramidal side-effects of antipsychotic medications",General/Unspecified,risk of anticholinergic toxicity,"Anticholinergic/antimuscarinic drugs (biperiden, orphenadrine, procyclidine, trihexyphenidyl) to treat extra-pyramidal side-effects of antipsychotic medications (risk of anticholinergic toxicity)."
STOPP,Section D: Central Nervous System,14,Drugs,"with potent anticholinergics/antimuscarinic effects** in patients with delirium or dementia (risk of exacerbation of cognitive impairment). ** Commonly prescribed drugs with potent anticholinergic/ antimuscarinic effects include tricyclic antidepressants (e.g., amitriptyline, doxepin, impramine, nortriptyline), antipsychotics (chlorpromazine, clozapine, thioridazine), first generation antihistamines (e.g., diphenhydramine, chlorpheniramine), bladder anti-spasmodics","e.g., tolterodine, oxybutynin","Drugs with potent anticholinergics/antimuscarinic effects** in patients with delirium or dementia (risk of exacerbation of cognitive impairment). ** Commonly prescribed drugs with potent anticholinergic/ antimuscarinic effects include tricyclic antidepressants (e.g., amitriptyline, doxepin, impramine, nortriptyline), antipsychotics (chlorpromazine, clozapine, thioridazine), first generation antihistamines (e.g., diphenhydramine, chlorpheniramine), bladder anti-spasmodics (e.g., tolterodine, oxybutynin), hyoscine, procyclidine, benzatropine, tizanidine."
STOPP,Section D: Central Nervous System,15,Antipsychotics,in patients with behavioural and psychological symptoms of dementia (BPSD) for longer than 12 weeks unless BPSD symptoms are severe and other non- pharmacological treatments have failed,"increased risk of stroke, myocardial infarction","Antipsychotics in patients with behavioural and psychological symptoms of dementia (BPSD) for longer than 12 weeks unless BPSD symptoms are severe and other non- pharmacological treatments have failed (increased risk of stroke, myocardial infarction)."
STOPP,Section D: Central Nervous System,16,"Antipsychotics as hypnotics,",unless sleep disorder is due to psychosis or BPSD effects of dementia,"not recommended in summary of product characteristics; increased risk of confusion, hypotension, extra-pyramidal side effects, falls","Antipsychotics as hypnotics, unless sleep disorder is due to psychosis or BPSD effects of dementia (not recommended in summary of product characteristics; increased risk of confusion, hypotension, extra-pyramidal side effects, falls)."
STOPP,Section D: Central Nervous System,17,Acetylcholinesterase inhibitors,"with a known history of persistent bradycardia (< 60 beats/min.), heart block or recurrent unexplained syncope","risk of cardiac conduction failure, syncope and injury","Acetylcholinesterase inhibitors with a known history of persistent bradycardia (< 60 beats/min.), heart block or recurrent unexplained syncope (risk of cardiac conduction failure, syncope and injury)."
STOPP,Section D: Central Nervous System,18,Acetylcholinesterase inhibitors,"with concurrent treatment with drugs that induce persistent bradycardia (< 60 beats/min.) such as beta-blockers, digoxin, diltiazem, verapamil","risk of cardiac conduction failure, syncope and injury","Acetylcholinesterase inhibitors with concurrent treatment with drugs that induce persistent bradycardia (< 60 beats/min.) such as beta-blockers, digoxin, diltiazem, verapamil (risk of cardiac conduction failure, syncope and injury)."
STOPP,Section D: Central Nervous System,19,Memantine,with known current or previous seizure disorder,increased risk of seizures,Memantine with known current or previous seizure disorder (increased risk of seizures).
STOPP,Section D: Central Nervous System,20,Nootropics,"in dementia including Gingko Biloba, piracetam, pramiracetam, phenylpiracetam, aniracetam, phosphatidylserine, modafinil, L-theanine, omega-3 fatty acids, panax ginseng, rhodiola, creatine",no evidence of efficacy,"Nootropics in dementia including Gingko Biloba, piracetam, pramiracetam, phenylpiracetam, aniracetam, phosphatidylserine, modafinil, L-theanine, omega-3 fatty acids, panax ginseng, rhodiola, creatine (no evidence of efficacy)."
STOPP,Section D: Central Nervous System,21,Phenothiazines as first-line treatment,"for psychosis or non-cognitive symptoms of dementia, since safer and more efficacious alternatives exist","phenothiazines are sedative, have significant anti-muscarinic toxicity in older people, except for prochlorperazine for 5 nausea/vomiting/vertigo, chlorpromazine for relief of persistent hiccoughs and levomepromazine as an anti-emetic in palliative care","Phenothiazines as first-line treatment for psychosis or non-cognitive symptoms of dementia, since safer and more efficacious alternatives exist (phenothiazines are sedative, have significant anti-muscarinic toxicity in older people, except for prochlorperazine for 5 nausea/vomiting/vertigo, chlorpromazine for relief of persistent hiccoughs and levomepromazine as an anti-emetic in palliative care)."
STOPP,Section D: Central Nervous System,22,Levodopa or dopamine agonists,for benign essential tremor,no evidence of efficacy,Levodopa or dopamine agonists for benign essential tremor (no evidence of efficacy)
STOPP,Section D: Central Nervous System,23,Levodopa or dopamine agonists,for treatment of extrapyramidal side-effects of antipsychotics or other forms of drug-induced Parkinsonism,inappropriate prescribing cascade to be avoided,Levodopa or dopamine agonists for treatment of extrapyramidal side-effects of antipsychotics or other forms of drug-induced Parkinsonism (inappropriate prescribing cascade to be avoided).
STOPP,Section D: Central Nervous System,24,First-generation antihistamines as first-line treatment,for allergy or pruritus,safer antihistamines with fewer side-effects now widely available,First-generation antihistamines as first-line treatment for allergy or pruritus (safer antihistamines with fewer side-effects now widely available).
STOPP,Section D: Central Nervous System,25,First-generation antihistamines,for insomnia,"high risk of side-effects, Z-drugs safer and more appropriate for short-term use","First-generation antihistamines for insomnia (high risk of side-effects, Z-drugs safer and more appropriate for short-term use)."
STOPP,Section E: Renal System. The following commonly prescribed drugs are potentially,1,Digoxin at a long-term (i.e. more than 90 days) maintenance dose ≥ 125µg/day if eGFR < 30 ml/min/1.73m2,General/Unspecified,risk of digoxin toxicity if plasma levels not measured,Digoxin at a long-term (i.e. more than 90 days) maintenance dose ≥ 125µg/day if eGFR < 30 ml/min/1.73m2 (risk of digoxin toxicity if plasma levels not measured).
STOPP,Section E: Renal System. The following commonly prescribed drugs are potentially,2,"Direct thrombin inhibitors (e.g., dabigatran) if eGFR < 30 ml/min/1.73m2",General/Unspecified,risk of bleeding,"Direct thrombin inhibitors (e.g., dabigatran) if eGFR < 30 ml/min/1.73m2 (risk of bleeding)"
STOPP,Section E: Renal System. The following commonly prescribed drugs are potentially,3,"Factor Xa inhibitors (e.g., rivaroxaban, apixaban, edoxaban) if eGFR < 15 ml/min/1.73m2",General/Unspecified,risk of bleeding,"Factor Xa inhibitors (e.g., rivaroxaban, apixaban, edoxaban) if eGFR < 15 ml/min/1.73m2 (risk of bleeding)"
STOPP,Section E: Renal System. The following commonly prescribed drugs are potentially,4,NSAID’s if eGFR < 50 ml/min/1.73m2,General/Unspecified,risk of deterioration in renal function,NSAID’s if eGFR < 50 ml/min/1.73m2 (risk of deterioration in renal function).
STOPP,Section E: Renal System. The following commonly prescribed drugs are potentially,5,Colchicine if eGFR < 10 ml/min/1.73m2,General/Unspecified,risk of colchicine toxicity,Colchicine if eGFR < 10 ml/min/1.73m2 (risk of colchicine toxicity)
STOPP,Section E: Renal System. The following commonly prescribed drugs are potentially,6,Metformin if eGFR < 30 ml/min/1.73m2,General/Unspecified,risk of lactic acidosis,Metformin if eGFR < 30 ml/min/1.73m2 (risk of lactic acidosis).
STOPP,Section E: Renal System. The following commonly prescribed drugs are potentially,7,"Mineralocorticoid receptor antagonists (e.g. spironolactone, eplerenone) if eGFR < 30 ml/min/1.73m2",General/Unspecified,risk of dangerous hyperkalaemia,"Mineralocorticoid receptor antagonists (e.g. spironolactone, eplerenone) if eGFR < 30 ml/min/1.73m2 (risk of dangerous hyperkalaemia)."
STOPP,Section E: Renal System. The following commonly prescribed drugs are potentially,8,Nitrofurantoin if eGFR < 45 ml/min/1.73m2,General/Unspecified,increased risk of nitrofurantoin toxicity,Nitrofurantoin if eGFR < 45 ml/min/1.73m2 (increased risk of nitrofurantoin toxicity).
STOPP,Section E: Renal System. The following commonly prescribed drugs are potentially,9,Bisphosphonates if eGFR<30 ml/min/1.73m2,General/Unspecified,increased risk of acute renal failure,Bisphosphonates if eGFR<30 ml/min/1.73m2 (increased risk of acute renal failure).
STOPP,Section E: Renal System. The following commonly prescribed drugs are potentially,10,Methotrexate if eGFR <30 ml/min/1.73m2,General/Unspecified,increased risk of methotrexate toxicity,Methotrexate if eGFR <30 ml/min/1.73m2 (increased risk of methotrexate toxicity).
STOPP,Section F: Gastrointestinal System,1,Prochlorperazine or metoclopramide,with Parkinsonism,risk of exacerbating Parkinsonian symptoms,Prochlorperazine or metoclopramide with Parkinsonism (risk of exacerbating Parkinsonian symptoms).
STOPP,Section F: Gastrointestinal System,2,Proton pump inhibitor (PPI),for uncomplicated peptic ulcer disease at full therapeutic dosage for > 8 weeks,dose reduction or earlier discontinuation or H2 antagonist maintenance therapy usually indicated,Proton pump inhibitor (PPI) for uncomplicated peptic ulcer disease at full therapeutic dosage for > 8 weeks (dose reduction or earlier discontinuation or H2 antagonist maintenance therapy usually indicated). 6
